model,city,T_in,T_out,tag,horizon,MAE,RMSE,MAPE,config
gcn,bj,12,48,,h12,37.2071,63.2438,84.11,"{""model"": ""gcn"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gcn/best.pt"", ""log_dir"": ""outputs/logs/gcn""}"
gcn,bj,12,48,,avg,37.3520,63.5456,82.72,"{""model"": ""gcn"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 64, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gcn/best.pt"", ""log_dir"": ""outputs/logs/gcn""}"
gat,bj,12,48,,h1,20.6334,33.0105,78.37,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat""}"
gat,bj,12,48,,h3,23.6619,38.6089,84.36,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat""}"
gat,bj,12,48,,h6,27.4811,45.1894,92.51,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat""}"
gat,bj,12,48,,h12,31.7028,51.8956,101.28,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat""}"
gat,bj,12,48,,avg,33.5339,56.1352,100.66,"{""model"": ""gat"", ""city"": ""bj"", ""T_in"": 12, ""T_out"": 48, ""hidden"": 32, ""heads"": 4, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""graphs"": [""spatial""], ""save_path"": ""outputs/checkpoints/gat/best.pt"", ""log_dir"": ""outputs/logs/gat""}"
arima,bj,all_history,48,,avg,44.7281,74.8286,110.68,"{""model"": ""arima"", ""order"": [2, 0, 1], ""grids"": 1017, ""T_out"": 48, ""d_method"": ""ADF"", ""pq_method"": ""AIC""}"
prophet,bj,all_history,48,,avg,43.8109,70.1797,105.69,"{""model"": ""prophet"", ""grids"": 1017, ""T_out"": 48}"
lstm,bj,48,48,1d,h1,12.2646,21.6300,24.32,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""1d""}"
lstm,bj,48,48,1d,h3,14.1639,25.7699,27.99,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""1d""}"
lstm,bj,48,48,1d,h6,15.7288,29.0880,30.77,"{""model"": ""lstm"", ""city"": ""bj"", ""T_in"": 48, ""T_out"": 48, ""hidden"": 64, ""num_layers"": 2, ""dropout"": 0.1, ""batch"": 32, ""epochs"": 100, ""lr"": 0.001, ""weight_decay"": 0.0001, ""patience"": 15, ""save_path"": ""outputs/checkpoints/lstm/best.pt"", ""log_dir"": ""outputs/logs/lstm"", ""tag"": ""1d""}"
